City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
85,Avarua,CK,-21.2078,-159.775,73.45,78,40,16.11,scattered clouds
86,Esperance,AU,-33.8667,121.9,51.1,74,40,10.85,light rain
87,Kaitangata,NZ,-46.2817,169.8464,34.43,83,31,5.23,scattered clouds
88,Castro,BR,-24.7911,-50.0119,57.78,96,100,7.45,overcast clouds
89,Sola,VU,-13.8833,167.55,78.84,81,14,14.85,few clouds
90,Pangnirtung,CA,66.1451,-65.7125,35.53,69,99,2.68,overcast clouds
91,Mulatupo,PA,8.9492,-77.7652,82.63,79,100,1.48,overcast clouds
92,Chenghai,CN,23.4632,116.768,81.88,80,2,7.49,light rain
93,San Joaquin,US,37.9333,-121.3011,61.68,90,1,4.61,clear sky
94,Seminole,US,28.7086,-81.2081,86.43,80,75,1.01,broken clouds
95,Rutul,RU,41.5357,47.4239,54.5,93,60,4.12,broken clouds
96,La Ronge,CA,55.1001,-105.2842,43.05,93,90,3.44,overcast clouds
97,Kapit,MY,2.0167,112.9333,73.51,99,82,1.21,broken clouds
98,Kapaa,US,22.0752,-159.319,79.12,89,40,13.8,scattered clouds
99,Port Lincoln,AU,-34.7333,135.8667,55.4,53,59,21.85,broken clouds
100,Aksarka,RU,66.5606,67.7975,38.07,96,100,27.02,light rain
101,Tuktoyaktuk,CA,69.4541,-133.0374,41.77,83,100,12.39,overcast clouds
102,Havelock,US,34.8791,-76.9013,82.36,86,90,3.0,overcast clouds
103,Robat Karim,IR,35.4846,51.0829,93.06,7,0,9.01,clear sky
104,Correntina,BR,-13.3433,-44.6367,89.31,20,0,9.04,clear sky
105,Butaritari,KI,3.0707,172.7902,82.2,70,77,14.92,broken clouds
106,Jumla,NP,29.2747,82.1838,60.75,93,82,0.65,broken clouds
107,Stromness,GB,58.965,-3.296,61.05,87,100,17.0,overcast clouds
108,Chokurdakh,RU,70.6333,147.9167,33.35,97,100,10.27,overcast clouds
109,Prachuap Khiri Khan,TH,12.2167,99.75,73.42,92,86,3.27,light rain
110,Matagami,CA,49.7502,-77.6328,67.28,62,82,14.99,broken clouds
111,Salalah,OM,17.0151,54.0924,80.69,89,90,10.36,overcast clouds
112,Souillac,MU,-20.5167,57.5167,73.36,80,41,8.48,scattered clouds
113,Kruisfontein,ZA,-34.0033,24.7314,59.88,58,65,9.91,broken clouds
114,Hirara,JP,24.8,125.2833,83.16,75,12,5.41,few clouds
115,Faya,SA,18.3851,42.4509,72.12,63,83,9.33,broken clouds
116,Hovd,MN,48.0056,91.6419,59.95,39,82,8.08,broken clouds
117,Qaqortoq,GL,60.7167,-46.0333,43.3,80,26,5.35,scattered clouds
118,Bud,US,39.447,-86.1758,80.22,83,0,2.95,clear sky
119,Broome,US,42.2506,-75.833,74.19,80,90,1.01,overcast clouds
120,Nioro,GM,13.35,-15.75,84.85,73,95,6.69,overcast clouds
121,Tutoia,BR,-2.7619,-42.2744,89.58,54,7,15.55,clear sky
122,Severo-Kurilsk,RU,50.6789,156.125,48.69,81,100,9.1,overcast clouds
123,Luderitz,NA,-26.6481,15.1594,63.68,51,1,10.04,clear sky
124,Te Anau,NZ,-45.4167,167.7167,31.06,95,27,0.85,scattered clouds
125,Atuona,PF,-9.8,-139.0333,77.58,71,12,20.36,few clouds
126,Bluff,NZ,-46.6,168.3333,32.81,77,8,10.54,clear sky
127,Storforshei,NO,66.4043,14.5233,53.38,62,75,8.05,broken clouds
128,Sechura,PE,-5.5569,-80.8222,71.35,64,32,7.34,scattered clouds
129,Pendleton,US,45.6721,-118.7886,59.92,43,1,0.0,clear sky
130,Tambovka,RU,50.0969,128.0489,42.17,92,37,6.53,scattered clouds
131,Bambous Virieux,MU,-20.3428,57.7575,73.22,83,9,6.64,clear sky
132,Birobidzhan,RU,48.8,132.95,55.17,84,89,5.93,overcast clouds
133,Kodiak,US,57.79,-152.4072,49.51,81,90,16.11,overcast clouds
134,Sorland,NO,67.667,12.6934,50.86,88,100,9.86,overcast clouds
135,Innisfail,AU,-17.5333,146.0333,71.62,64,97,9.17,overcast clouds
136,Batticaloa,LK,7.7102,81.6924,83.57,75,93,5.75,overcast clouds
137,Pareora,NZ,-44.4871,171.2132,35.56,83,24,4.97,few clouds
138,Buraydah,SA,26.326,43.975,94.03,13,4,5.3,clear sky
139,Gizo,SB,-8.103,156.8419,81.27,78,42,14.05,scattered clouds
140,Yuncheng,CN,35.0231,110.9928,64.65,96,100,4.59,light rain
141,Nemuro,JP,43.3236,145.575,58.03,78,100,14.76,light rain
142,Falun,SE,60.6036,15.626,49.95,86,99,7.52,overcast clouds
143,Port Hardy,CA,50.6996,-127.4199,50.18,87,90,17.27,light rain
144,Rawson,AR,-43.3002,-65.1023,61.99,43,100,8.59,overcast clouds
145,Rio Gallegos,AR,-51.6226,-69.2181,41.05,87,90,5.75,overcast clouds
146,College,US,64.8569,-147.8028,42.28,82,20,0.0,few clouds
